YEAR,SERIAL,HWTSUPP,CPSID,ASECFLAG,HFLAG,METAREA,MONTH,PERNUM,CPSIDP,WTSUPP,SEX,RACE,OCC2010,INCTOT
2013,92983,3266.71,20111200606100.0,1,,7365,3,2,20111200606102.0,3406.81,1,100,9620,19825
2013,92983,3266.71,20111200606100.0,1,,7365,3,3,20111200606103.0,3266.71,2,100,2310,88850
2013,92984,3856.4,20130300653000.0,1,,7365,3,1,20130300653001.0,3856.4,1,651,1100,113211
2013,92984,3856.4,20130300653000.0,1,,7365,3,2,20130300653002.0,3856.4,2,651,1020,44000
2013,92984,3856.4,20130300653000.0,1,,7365,3,3,20130300653003.0,2845.88,2,651,9920,99999999
2013,92985,3291.07,20130100693600.0,1,,7365,3,1,20130100693601.0,3291.07,1,100,1020,108040
2013,92985,3291.07,20130100693600.0,1,,7365,3,2,20130100693602.0,3291.07,2,100,5940,8540
2013,92985,3291.07,20130100693600.0,1,,7365,3,3,20130100693604.0,3229.85,2,100,4520,0
2013,92985,3291.07,20130100693600.0,1,,7365,3,4,20130100693603.0,3434.08,1,100,9620,2800
2013,92986,3473.82,20120100683500.0,1,,7365,3,1,20120100683501.0,3473.82,1,100,140,153588
2013,92988,3627.44,20120100491400.0,1,,7365,3,1,20120100491401.0,3627.44,1,100,4200,50000
2013,92988,3627.44,20120100491400.0,1,,7365,3,2,20120100491402.0,3627.44,2,100,9920,0
2013,92989,3627.44,20120100588700.0,1,,7365,3,1,20120100588701.0,3627.44,2,100,9920,25999
2013,92990,1672.11,20120100513500.0,1,,7365,3,1,20120100513501.0,1672.11,1,100,1460,105423
2013,92990,1672.11,20120100513500.0,1,,7365,3,2,20120100513502.0,1672.11,2,100,7000,149223
2013,92990,1672.11,20120100513500.0,1,,7365,3,3,20120100513504.0,1887.06,2,100,9920,99999999
2013,92990,1672.11,20120100513500.0,1,,7365,3,4,20120100513503.0,2385.56,2,100,9920,99999999
2013,92991,2176.28,20120100468300.0,1,,7365,3,1,20120100468301.0,2176.28,1,651,120,80005
2013,92991,2176.28,20120100468300.0,1,,7365,3,2,20120100468302.0,2176.28,2,651,3300,40005
2013,92991,2176.28,20120100468300.0,1,,7365,3,3,20120100468303.0,2094.16,2,651,9920,51
2013,92991,2176.28,20120100468300.0,1,,7365,3,4,20120100468304.0,1886.5,2,651,9920,99999999
2013,92993,2037.73,20120100517600.0,1,,7365,3,1,20120100517601.0,2037.73,2,651,5860,50000
2013,92993,2037.73,20120100517600.0,1,,7365,3,2,20120100517602.0,2037.73,1,100,150,93800
2013,92993,2037.73,20120100517600.0,1,,7365,3,3,20120100517603.0,1860.53,2,651,5700,30000
2013,92994,2037.73,20120100573700.0,1,,7365,3,1,20120100573701.0,2037.73,2,651,4700,60000
2013,92994,2037.73,20120100573700.0,1,,7365,3,2,20120100573703.0,2138.86,1,651,1020,70000
2013,92994,2037.73,20120100573700.0,1,,7365,3,3,20120100573702.0,2138.86,1,651,1240,80000
2013,92995,3413.24,20120100519200.0,1,,7365,3,1,20120100519201.0,3413.24,2,100,9920,90300
2013,92996,1956.13,20130100446900.0,1,,7365,3,1,20130100446901.0,1956.13,2,200,2010,21475
2013,92996,1956.13,20130100446900.0,1,,7365,3,2,20130100446902.0,1898.93,2,200,9920,99999999
2013,92996,1956.13,20130100446900.0,1,,7365,3,3,20130100446903.0,1956.13,1,651,4220,0
2013,92998,2122.67,20130200428400.0,1,,7365,3,1,20130200428401.0,2122.67,2,200,9920,12600
2013,92998,2122.67,20130200428400.0,1,,7365,3,2,20130200428402.0,1672.12,2,200,4720,19200
2013,92999,3122.05,20130200458700.0,1,,7365,3,1,20130200458701.0,3122.05,2,200,9920,15599
2013,93000,3387.65,20130100562600.0,1,,7365,3,1,20130100562601.0,3387.65,2,100,710,37460
2013,93001,1590.0,20120100388200.0,1,,7365,3,1,20120100388201.0,1590.0,1,100,2010,50500
2013,93001,1590.0,20120100388200.0,1,,7365,3,2,20120100388203.0,1319.31,2,100,5400,34000
2013,93001,1590.0,20120100388200.0,1,,7365,3,3,20120100388202.0,1849.78,1,100,4610,23000
2013,93003,1933.53,20120100578900.0,1,,7365,3,1,20120100578901.0,1933.53,2,200,9620,32000
2013,93003,1933.53,20120100578900.0,1,,7365,3,2,20120100578902.0,1623.55,1,200,9920,0
2013,93004,2117.11,20120100486900.0,1,,7365,3,1,20120100486901.0,2117.11,2,651,9920,50214
2013,93005,1530.97,20120100681500.0,1,,7365,3,1,20120100681501.0,1530.97,2,200,9920,9264
2013,93005,1530.97,20120100681500.0,1,,7365,3,2,20120100681504.0,1589.15,2,200,9920,99999999
2013,93005,1530.97,20120100681500.0,1,,7365,3,3,20120100681503.0,1298.61,1,200,9920,99999999
2013,93005,1530.97,20120100681500.0,1,,7365,3,4,20120100681502.0,1388.09,1,200,9920,99999999
2013,93006,1860.53,20120100433300.0,1,,7365,3,1,20120100433301.0,1860.53,2,651,2850,43600
2013,93006,1860.53,20120100433300.0,1,,7365,3,2,20120100433302.0,1860.53,1,803,2200,75700
2013,93007,3106.02,20120100652100.0,1,,7365,3,1,20120100652101.0,3106.02,2,651,4850,25030
2013,93012,1644.23,20120200802500.0,1,,7365,3,1,20120200802501.0,1644.23,2,651,9640,17500
2013,93012,1644.23,20120200802500.0,1,,7365,3,2,20120200802502.0,1644.23,1,651,9920,8760
2013,93012,1644.23,20120200802500.0,1,,7365,3,3,20120200802503.0,1758.68,2,651,9920,0
2013,93013,1351.08,20120200743900.0,1,,7365,3,1,20120200743901.0,1351.08,2,100,9920,21776
2013,93013,1351.08,20120200743900.0,1,,7365,3,2,20120200743905.0,1676.5,1,100,9920,99999999
2013,93013,1351.08,20120200743900.0,1,,7365,3,3,20120200743904.0,1800.21,2,100,9920,99999999
2013,93013,1351.08,20120200743900.0,1,,7365,3,4,20120200743902.0,1360.31,2,100,9920,3600
2013,93013,1351.08,20120200743900.0,1,,7365,3,5,20120200743903.0,1360.31,1,100,5700,13077
2013,93014,1335.03,20130200757400.0,1,,7365,3,1,20130200757401.0,1335.03,1,100,6230,60000
2013,93014,1335.03,20130200757400.0,1,,7365,3,2,20130200757402.0,1335.03,2,100,4230,0
2013,93014,1335.03,20130200757400.0,1,,7365,3,3,20130200757404.0,1229.34,1,100,9920,0
