Discipline,Gender,Fall 2000,Fall 2005,Fall 2010,Fall 2015
Intdisc & Other,Female,0.39,0.42,0.45,0.43
Arts & Humanities,Female,0.37,0.41,0.43,0.45
Oth Health Sci,Female,0.35,0.39,0.45,0.44
Soc Sci & Psych,Female,0.30,0.35,0.38,0.41
Professional,Female,0.29,0.33,0.37,0.38
Life Sci (STEM),Female,0.20,0.23,0.25,0.29
Medicine,Female,0.15,0.18,0.20,0.25
Phys Sci/Math (STEM),Female,0.10,0.13,0.17,0.18
Eng & CS (STEM),Female,0.08,0.11,0.14,0.16
