Race/Ethnicity,Arts & Humanities,Soc Sci & Psych,STEM,Professional,Interdisc & Other,
Other/Unk/2 or More,0.03,0.03,0.02,0.07,0.01,
White,0.73,0.68,0.73,0.66,0.73,
Asian/Pac Isl/Nat Haw,0.11,0.13,0.19,0.15,0.14,
Hispanic/Latino(a),0.08,0.09,0.04,0.07,0.06,
American Indian,0.01,0.01,0.00,0.01,0.02,
Black/Afr/Afr Amer,0.04,0.05,0.01,0.05,0.05,
